"CBSA","CSA","Type","Name"
"21460","222","Micro","Enterprise-Ozark, AL"
"21500",,"Metro","Erie, PA"
"21540",,"Micro","Escanaba, MI"
"21580","492","Micro","Espanola, NM"
"21640",,"Micro","Eufaula, AL-GA"
"21660",,"Metro","Eugene-Springfield, OR"
"21700",,"Micro","Eureka-Arcata-Fortuna, CA"
"21740",,"Micro","Evanston, WY"
"21780",,"Metro","Evansville, IN-KY"
"21820",,"Metro","Fairbanks, AK"
"21860",,"Micro","Fairmont, MN"
"21900","242","Micro","Fairmont, WV"
"21940","490","Metro","Fajardo, PR"
"21980",,"Micro","Fallon, NV"
"22020","244","Metro","Fargo, ND-MN"
"22060","378","Micro","Faribault-Northfield, MN"
"22100","476","Micro","Farmington, MO"
"22140",,"Metro","Farmington, NM"
"22180",,"Metro","Fayetteville, NC"
"22220",,"Metro","Fayetteville-Springdale-Rogers, AR-MO"
"22260",,"Micro","Fergus Falls, MN"
"22280","456","Micro","Fernley, NV"
"22300","248","Micro","Findlay, OH"
"22340",,"Micro","Fitzgerald, GA"
"22380",,"Metro","Flagstaff, AZ"
"22420","220","Metro","Flint, MI"
"22500",,"Metro","Florence, SC"
"22520",,"Metro","Florence-Muscle Shoals, AL"
"22540","252","Metro","Fond du Lac, WI"
"22580",,"Micro","Forest City, NC"
"22620",,"Micro","Forrest City, AR"
"22660",,"Metro","Fort Collins-Loveland, CO"
"22700",,"Micro","Fort Dodge, IA"
"22744",,"Div","Fort Lauderdale-Pompano Beach-Deerfield Beach, FL"
"22780",,"Micro","Fort Leonard Wood, MO"
"22800",,"Micro","Fort Madison-Keokuk, IA-MO"
"22820",,"Micro","Fort Morgan, CO"
"22840",,"Micro","Fort Payne, AL"
"22860","256","Micro","Fort Polk South, LA"
"22900",,"Metro","Fort Smith, AR-OK"
"22980","356","Micro","Fort Valley, GA"
"23060","258","Metro","Fort Wayne, IN"
"23104",,"Div","Fort Worth-Arlington, TX"
"23140","320","Micro","Frankfort, IN"
"23180","336","Micro","Frankfort, KY"
"23240",,"Micro","Fredericksburg, TX"
"23300","466","Micro","Freeport, IL"
"23340","420","Micro","Fremont, NE"
"23380","534","Micro","Fremont, OH"
"23420","260","Metro","Fresno, CA"
"23460",,"Metro","Gadsden, AL"
"23500","273","Micro","Gaffney, SC"
"23540",,"Metro","Gainesville, FL"
"23580","122","Metro","Gainesville, GA"
"23620","206","Micro","Gainesville, TX"
"23660",,"Micro","Galesburg, IL"
